21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → obtener_encuesta()
21/03/2026 04:59:10 | ERROR    | encuesta_api | [ERROR]    obtener_encuesta() falló en 0.4ms → 404: No existe ninguna encuesta con ID 'uuid-que-no-existe'.
21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → crear_encuesta()
21/03/2026 04:59:10 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.4ms
21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → actualizar_encuesta()
21/03/2026 04:59:10 | INFO     | encuesta_api | [OK]       actualizar_encuesta() completado en 0.3ms
21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → actualizar_encuesta()
21/03/2026 04:59:10 | ERROR    | encuesta_api | [ERROR]    actualizar_encuesta() falló en 0.4ms → 404: No existe ninguna encuesta con ID 'no-existe'.
21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → crear_encuesta()
21/03/2026 04:59:10 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.4ms
21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → eliminar_encuesta()
21/03/2026 04:59:10 | INFO     | encuesta_api | [OK]       eliminar_encuesta() completado en 0.3ms
21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → eliminar_encuesta()
21/03/2026 04:59:10 | ERROR    | encuesta_api | [ERROR]    eliminar_encuesta() falló en 0.4ms → 404: No existe ninguna encuesta con ID 'no-existe'.
21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → estadisticas()
21/03/2026 04:59:10 | INFO     | encuesta_api | [TIMER]   estadisticas: 0.02ms
21/03/2026 04:59:10 | INFO     | encuesta_api | [OK]       estadisticas() completado en 0.6ms
21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → crear_encuesta()
21/03/2026 04:59:10 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.4ms
21/03/2026 04:59:10 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:59:10 → estadisticas()
21/03/2026 04:59:10 | INFO     | encuesta_api | [TIMER]   estadisticas: 0.04ms
21/03/2026 04:59:10 | INFO     | encuesta_api | [OK]       estadisticas() completado en 0.6ms
21/03/2026 05:18:57 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 05:18:57 → crear_encuesta()
21/03/2026 05:18:57 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.9ms
21/03/2026 05:18:57 | WARNING  | encuesta_api | [422 VALIDACIÓN] POST /encuestas/ → 2 error(es) de validación
